"date_ct","daily_min_Air Temp","daily_min_Dew Point","daily_min_Relative Humidity","daily_min_Wind Speed","daily_max_Air Temp","daily_max_Dew Point","daily_max_Relative Humidity","daily_max_Wind Speed","daily_avg_Air Temp","daily_avg_Dew Point","daily_avg_Relative Humidity","daily_avg_Wind Speed","RH_80_sum_Air Temp","RH_80_sum_Dew Point","RH_80_sum_Relative Humidity","RH_80_sum_Wind Speed","RH_90_sum_Air Temp","RH_90_sum_Dew Point","RH_90_sum_Relative Humidity","RH_90_sum_Wind Speed","mean_AT_30d_ma","max_RH_30d_ma","min_DP_30d_ma","max_AT_30d_ma","RH_80_sum_30d_ma","max_WS_30d_ma","tot_nh_RH_14d_ma","min_AT_22d_ma"
2024-10-02,36.8,33,27,0,69.5,40.3,99,11.8,53.7833333333333,36.3708333333333,61.9166666666667,5.21666666666667,0,0,10,0,0,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA
2024-10-03,43.1,37.4,33,0.1,71.6,45.9,92,9.4,58.2125,41.7833333333333,60.2083333333333,4.01666666666667,0,0,4,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA
2024-10-04,46.2,36.5,35,0.1,66.2,49.1,92,9.4,55.7291666666667,42.2083333333333,68.4583333333333,4.9,0,0,11,0,0,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA
2024-10-05,38.7,39,47,0,80.1,58.8,99,13.1,61.5125,50.0875,72.4166666666667,6.7875,0,0,11,0,0,0,9,0,NA,NA,NA,NA,NA,NA,NA,NA
2024-10-06,45.1,37,43,0.5,73.9,55.3,84,13.7,57.9666666666667,40.3791666666667,57.7083333333333,7.875,0,0,2,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2024-10-07,37.3,28.5,31,0,61.9,37.9,97,8.4,49.4583333333333,32.7375,58.7083333333333,3.80416666666667,0,0,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
2024-10-08,37.1,36,34,0,67.5,41.3,96,7.9,51.7666666666667,38.5625,69.125,2.95416666666667,0,0,12,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA
2024-10-09,38.1,37.1,34,0,67.6,41.6,98,7.4,51.6958333333333,38.6333333333333,69.2916666666667,3.24166666666667,0,0,10,0,0,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA
2024-10-10,36.2,36,44,0,69.9,47.9,100,6.7,51.2791666666667,42.7375,79.9583333333333,2.0625,0,0,15,0,0,0,8,0,NA,NA,NA,NA,NA,NA,NA,NA
2024-10-11,43.2,42.2,34,0,80.9,52.9,98,12.4,61.1083333333333,47.2833333333333,68.7083333333333,5.09583333333333,0,0,11,0,0,0,4,0,NA,NA,NA,NA,NA,NA,NA,NA
2024-10-12,42.9,40.5,53,2.1,62.7,48.7,95,10,52.0291666666667,45.2833333333333,83.375,5.75833333333333,0,0,18,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA
2024-10-13,40.7,37.4,59,1.9,53,46.3,100,16.9,46.1458333333333,40.9833333333333,86.2083333333333,9.5875,0,0,15,0,0,0,12,0,NA,NA,NA,NA,NA,NA,NA,NA
2024-10-14,33.3,32.3,63,1.6,49.6,40,98,14.2,42.5875,36.7916666666667,83,7.575,0,0,16,0,0,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA
2024-10-15,33,28.2,49,1.6,47.4,36.6,98,16.9,39.4833333333333,31.1708333333333,77.0833333333333,8.5125,0,0,12,0,0,0,9,0,NA,NA,NA,NA,NA,NA,5.07142857142857,NA
2024-10-16,26.6,25.3,34,0,55.2,32.1,96,6,39.425,28.1333333333333,72.4583333333333,2.89583333333333,0,0,13,0,0,0,6,0,NA,NA,NA,NA,NA,NA,5,NA
2024-10-17,30.2,25.5,26,0.2,63.4,31.9,89,13.9,46.425,28.1,57.125,6.4625,0,0,7,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.92857142857143,NA
2024-10-18,40.3,29.6,27,0.4,67.5,35.8,72,12,52.375,32.5208333333333,51.8333333333333,6.68333333333333,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,4.78571428571429,NA
2024-10-19,34.8,31.4,26,0,72.1,40.5,92,11,52.5541666666667,35.6,60.5833333333333,4.875,0,0,6,0,0,0,3,0,NA,NA,NA,NA,NA,NA,4.35714285714286,NA
